Player Name,Position,Tweet #,Tweet Text,Gender,Sentiment Score,Sentiment Category,Topic_Performance,Topic_Appearance,Topic_Age
Johni Broome,F,Tweet6, Broome’s footwork in the post is textbook,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet6, Florida wouldn’t be national champs without Walter Clayton’s leadership,Men,0.4215,Positive,0,0,0
Braden Smith,G,Tweet6, You can’t teach the kind of vision Braden Smith has,Men,0.1796,Positive,0,0,0
Mark Sears,G,Tweet6, You never know when Mark Sears is going to go off for 20,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet6, Derik Queen’s ability to stretch the floor is huge for a center,Men,0.5574,Positive,0,0,0
Zakai Ziegler,G,Tweet6, Zakai Zeigler may be undersized but he’s always playing above the rim,Men,0.296,Positive,0,0,0
Caleb Love,G,Tweet6, I love how Caleb Love can score from anywhere on the court,Men,0.8555,Positive,1,0,0
Richie Saunders,G,Tweet6, Richie Saunders plays with so much heart,Men,0.7564,Positive,0,0,0
Chad Baker-Mazara,G,Tweet6, Chad Baker-Mazara’s defense is solid,Men,0.2732,Positive,1,0,0
Cooper Flagg,F,Tweet7, Cooper Flagg really does it on both ends of the floor,Men,0.0,Neutral,0,0,0
Johni Broome,F,Tweet7, I don’t know how you stop Johni Broome when he’s locked in,Men,-0.296,Negative,0,0,0
Walter Clayton,G,Tweet7, That step-back three from Walter Clayton was filthy,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet7, Braden Smith makes the game look easy with his playmaking,Men,0.4404,Positive,1,0,0
Mark Sears,G,Tweet7, Mark Sears’ ability to hit deep threes is a game-changer for Alabama,Men,0.3182,Positive,0,0,0
Derik Queen,C,Tweet7, He’s already showing flashes of NBA potential in his freshman year,Men,0.0,Neutral,0,0,1
Zakai Ziegler,G,Tweet7, Zakai Zeigler’s defense is next-level,Men,0.128,Positive,1,0,0
Caleb Love,G,Tweet7, Caleb Love’s ability to create his own shot is elite,Men,0.5267,Positive,0,1,0
Richie Saunders,G,Tweet7, Richie Saunders has a smooth jump shot from anywhere on the floor,Men,0.0,Neutral,0,1,0
Chad Baker-Mazara,G,Tweet7, and it’s what makes him a well-rounded player,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet8, Flagg is the real deal no hype needed,Men,-0.296,Negative,0,0,0
Johni Broome,F,Tweet8, Broome might be the most underrated player in college hoops right now,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet8, Walter Clayton just carries himself with so much confidence,Men,0.5542,Positive,0,0,0
Braden Smith,G,Tweet8, If Braden Smith isn’t getting the assist,Men,0.0,Neutral,1,0,0
Mark Sears,G,Tweet8, Mark Sears is one of the streakiest players in college basketball,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet8, Derik Queen’s mobility as a big man is next-level,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet8, he’s a pest for opposing offenses,Men,-0.3612,Negative,1,0,0
Caleb Love,G,Tweet8, Caleb Love is putting Arizona on his back when they need him most,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet8, Richie Saunders has that veteran mentality on the court,Men,0.0,Neutral,0,0,1
Chad Baker-Mazara,G,Tweet8, Chad Baker-Mazara can step up in the clutch and deliver for Auburn,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet9, Cooper Flagg is already better than half the NBA rookies,Men,0.4404,Positive,0,0,0
Johni Broome,F,Tweet9, Johni Broome is a monster on the boards,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet9, Walter Clayton’s passing vision is elite for a guard,Men,0.25,Positive,1,0,0
Braden Smith,G,Tweet9, he’s setting up the play,Men,0.34,Positive,0,0,0
Mark Sears,G,Tweet9, I swear when Mark Sears catches fire he’s unstoppable,Men,-0.5267,Negative,0,0,0
Derik Queen,C,Tweet9, That dunk from Derik Queen had the crowd buzzing,Men,0.0,Neutral,1,0,0
Zakai Ziegler,G,Tweet9, Zakai Zeigler doesn’t need size to make a huge impact on the game,Men,0.3182,Positive,0,0,0
Caleb Love,G,Tweet9, That step-back jumper from Caleb Love was pure fire,Men,0.4215,Positive,0,0,0
Richie Saunders,G,Tweet9, I love the energy Richie Saunders brings every game for BYU,Men,0.743,Positive,0,0,0
Chad Baker-Mazara,G,Tweet9, It’s clear Chad Baker-Mazara’s years of experience have paid off this season,Men,0.3818,Positive,0,0,0
Cooper Flagg,F,Tweet10, The confidence Cooper Flagg plays with is wild for his age,Men,0.6486,Positive,0,0,1
Johni Broome,F,Tweet10, That fast break dunk from Johni Broome was pure fire,Men,-0.34,Negative,1,0,0
Walter Clayton,G,Tweet10, The poise Walter Clayton shows as a young player is impressive,Men,0.5106,Positive,0,0,1
Braden Smith,G,Tweet10, Purdue’s offense runs through Braden Smith’s decision-making,Men,-0.25,Negative,1,0,0
Mark Sears,G,Tweet10, That left-handed three from Mark Sears was pure cash,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet10, Derik Queen’s presence in the paint is going to change games for Maryland,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet10, That assist from Zakai Zeigler was a thing of beauty,Men,0.5859,Positive,1,0,0
Caleb Love,G,Tweet10, Caleb Love’s leadership is huge for Arizona’s success,Men,0.7184,Positive,0,0,0
Richie Saunders,G,Tweet10, Richie Saunders is always playing with purpose,Men,0.2023,Positive,0,0,0
Chad Baker-Mazara,G,Tweet10, Chad Baker-Mazara’s scoring touch is so consistent,Men,0.0,Neutral,1,0,0
Cooper Flagg,F,Tweet11, Cooper Flagg is a cheat code,Men,-0.4588,Negative,0,0,0
Johni Broome,F,Tweet11, Johni Broome is already dominating at the collegiate level,Men,-0.296,Negative,0,0,0
Walter Clayton,G,Tweet11, Florida fans better enjoy Walter Clayton while they can this kid is special,Men,0.8316,Positive,0,0,0
Braden Smith,G,Tweet11, The way Braden Smith can thread the needle on passes is unbelievable,Men,0.2023,Positive,1,0,0
Mark Sears,G,Tweet11, If Mark Sears is in a groove,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet11, You can tell Derik Queen’s basketball IQ is sky-high,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet11, Watching Zakai Zeigler get into passing lanes is like watching a master at work,Men,0.3612,Positive,1,0,0
Caleb Love,G,Tweet11, Caleb Love is a matchup nightmare for opposing defenses,Men,0.7096,Positive,1,0,0
Richie Saunders,G,Tweet11, Richie Saunders has been a breakout star for BYU this season,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet11, That step-back jumper from Chad Baker-Mazara was silky smooth,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet12, If Cooper Flagg played in the league today he’d hold his own,Men,0.34,Positive,0,0,1
Johni Broome,F,Tweet12, I would not want to be the guy trying to guard Johni Broome in the paint,Men,-0.0572,Negative,0,0,0
Walter Clayton,G,Tweet12, The way Walter Clayton can take over a game is unmatched,Men,-0.0772,Negative,0,0,0
Braden Smith,G,Tweet12, Braden Smith’s ability to break down defenses with his passing is elite,Men,0.4588,Positive,1,0,0
Mark Sears,G,Tweet12, good luck to the defense,Men,0.7506,Positive,1,0,0
Derik Queen,C,Tweet12, Derik Queen’s footwork down low is so advanced for a freshman,Men,0.0498,Neutral,0,0,1
Zakai Ziegler,G,Tweet12, Zakai Zeigler can break down any defense with his quickness,Men,0.128,Positive,1,0,0
Caleb Love,G,Tweet12, Caleb Love’s ability to get to the rim is so impressive,Men,0.7609,Positive,0,0,0
Richie Saunders,G,Tweet12, Richie Saunders’ court vision makes his teammates better,Men,0.5994,Positive,0,0,0
Chad Baker-Mazara,G,Tweet12, Chad Baker-Mazara’s basketball IQ is off the charts,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet13, That chase-down block by Cooper Flagg was ridiculous,Men,-0.6597,Negative,1,0,0
Johni Broome,F,Tweet13, Broome’s athleticism is elite for a guy his size,Men,0.0,Neutral,1,0,0
Walter Clayton,G,Tweet13, I’m telling you Walter Clayton is going to be a pro sooner than later,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet13, Braden Smith is the glue that holds Purdue’s offense together,Men,-0.25,Negative,1,0,1
Mark Sears,G,Tweet13, Mark Sears has that ability to score in bunches,Men,0.3182,Positive,1,0,0
Derik Queen,C,Tweet13, Derik Queen is a force on both ends of the floor,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet13, I can’t believe how Zakai Zeigler can get in the lane and finish over bigger players,Men,0.0,Neutral,0,0,0
Caleb Love,G,Tweet13, Arizona’s offense runs so smoothly with Caleb Love running the point,Men,0.4939,Positive,1,0,0
Richie Saunders,G,Tweet13, Richie Saunders isn’t afraid to take the big shot,Men,0.0,Neutral,0,1,0
Chad Baker-Mazara,G,Tweet13, Chad Baker-Mazara’s leadership and maturity are exactly what Auburn needs,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet14, Every time I think I’ve seen it all Cooper Flagg does something new,Men,0.0,Neutral,0,0,0
Johni Broome,F,Tweet14, Johni Broome is going to be a future pro no question,Men,-0.296,Negative,0,0,0
Walter Clayton,G,Tweet14, Walter Clayton doesn’t just play the game he dictates it,Men,0.34,Positive,0,0,0
Braden Smith,G,Tweet14, I don’t think Braden Smith gets enough credit for how good he is,Men,0.6705,Positive,0,0,0
Mark Sears,G,Tweet14, Watching Mark Sears hit consecutive threes is a thing of beauty,Men,0.5859,Positive,0,0,0
Derik Queen,C,Tweet14, I can’t wait to see how Derik Queen develops over the next few years,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet14, That no-look pass from Zakai Zeigler was absolutely perfect,Men,0.6115,Positive,1,0,0
Caleb Love,G,Tweet14, Caleb Love can light it up in an instant,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet14, Richie Saunders is showing he can score in multiple ways,Men,0.0,Neutral,1,0,0
Chad Baker-Mazara,G,Tweet14, Chad Baker-Mazara has an excellent ability to get to the basket despite defenders,Men,0.6983,Positive,0,0,0
Cooper Flagg,F,Tweet15, This kid Cooper Flagg is going to take college basketball by storm,Men,0.0,Neutral,0,0,0
Johni Broome,F,Tweet15, His defensive timing is impeccable Johni Broome is a shot-blocking machine,Men,0.0258,Neutral,1,1,0
Walter Clayton,G,Tweet15, Walter Clayton is proving why he’s one of the best guards in college basketball,Men,0.6369,Positive,0,0,0
Braden Smith,G,Tweet15, Braden Smith is one of the best facilitators in college hoops right now,Men,0.6369,Positive,0,0,0
Mark Sears,G,Tweet15, Mark Sears can put up points in a hurry when he’s locked in,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet15, Derik Queen can block shots and finish at the rim with ease,Men,-0.1027,Negative,1,1,0
Zakai Ziegler,G,Tweet15," Zakai Zeigler has the toughness of a 6'5"" guard",Men,-0.0516,Negative,0,0,0
Caleb Love,G,Tweet15, Caleb Love is fearless when the game is on the line,Men,0.7964,Positive,0,0,0
Richie Saunders,G,Tweet15, Richie Saunders is BYU’s x-factor this season,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet15, Chad Baker-Mazara can shoot from deep and still drive with ease,Men,0.0258,Neutral,1,0,0
Cooper Flagg,F,Tweet16, The hype around Cooper Flagg is completely justified,Men,0.4576,Positive,0,0,0
Johni Broome,F,Tweet16, I’m still amazed by Johni Broome’s ability to finish through contact,Men,0.6705,Positive,0,0,0
Walter Clayton,G,Tweet16, Florida’s offense runs through Walter Clayton and he makes it look effortless,Men,-0.25,Negative,1,0,0
Braden Smith,G,Tweet16, His ability to create easy looks for his teammates is invaluable,Men,0.743,Positive,0,1,0
Mark Sears,G,Tweet16, It’s crazy how Mark Sears can change a game with just a few shots,Men,-0.34,Negative,0,1,0
Derik Queen,C,Tweet16, The way Derik Queen moves for his size is ridiculous,Men,-0.3612,Negative,0,0,0
Zakai Ziegler,G,Tweet16, Zakai Zeigler’s ability to drive to the basket is elite for his size,Men,0.3182,Positive,0,0,0
Caleb Love,G,Tweet16, When Caleb Love is hot,Men,0.6369,Positive,0,1,0
Richie Saunders,G,Tweet16, Richie Saunders’ defense has been huge for BYU’s success,Men,0.7579,Positive,1,0,0
Chad Baker-Mazara,G,Tweet16, Chad Baker-Mazara has the ability to take over games when needed,Men,0.3182,Positive,0,0,0
Cooper Flagg,F,Tweet17, Flagg might be the most complete high school prospect I’ve seen,Men,0.296,Positive,0,0,0
Johni Broome,F,Tweet17, Broome’s passing from the post is crazy underrated,Men,-0.34,Negative,1,0,0
Walter Clayton,G,Tweet17, I haven’t seen a guard control the pace like Walter Clayton in years,Men,0.3612,Positive,0,0,0
Braden Smith,G,Tweet17, Braden Smith sees the floor in ways other players can’t,Men,0.0,Neutral,0,0,0
Mark Sears,G,Tweet17, Mark Sears has one of the smoothest lefty strokes I’ve seen,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet17, Derik Queen has a soft touch around the basket for a big man,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet17, Don’t let Zakai Zeigler get hot because he can score in bursts,Men,0.0,Neutral,1,1,0
Caleb Love,G,Tweet17, good luck trying to stop him,Men,0.5719,Positive,0,0,0
Richie Saunders,G,Tweet17, Richie Saunders is stepping up in the biggest moments for BYU,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet17, I love how Chad Baker-Mazara can run the offense and still get his own points,Men,0.4939,Positive,1,0,0
Cooper Flagg,F,Tweet18, Cooper Flagg doesn’t just play the game he controls it,Men,0.34,Positive,0,0,0
Johni Broome,F,Tweet18, Johni Broome has a killer instinct on both ends,Men,-0.6486,Negative,0,0,0
Walter Clayton,G,Tweet18, When Walter Clayton gets hot it’s over for the other team,Men,0.0,Neutral,0,1,0
Braden Smith,G,Tweet18, You know if Braden Smith is on the floor your teammates are getting good looks,Men,0.4404,Positive,0,1,0
Mark Sears,G,Tweet18, The way Mark Sears can get his shot off from anywhere is impressive,Men,0.5106,Positive,0,1,0
Derik Queen,C,Tweet18, Derik Queen is showing early signs of becoming a dominant two-way player,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet18, Zakai Zeigler is proving that size doesn’t matter if you have heart,Men,0.6486,Positive,0,0,0
Caleb Love,G,Tweet18, Caleb Love has one of the smoothest shooting strokes in college basketball,Men,0.6369,Positive,1,0,0
Richie Saunders,G,Tweet18, Richie Saunders’ ability to drive to the basket is next-level,Men,0.3182,Positive,0,0,0
Chad Baker-Mazara,G,Tweet18, Chad Baker-Mazara has been a steady force for Auburn all season,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet19, If Cooper Flagg isn’t the number one recruit the system is broken,Men,-0.4215,Negative,0,0,0
Johni Broome,F,Tweet19, It’s crazy how well Johni Broome can control the game,Men,-0.0772,Negative,0,0,0
Walter Clayton,G,Tweet19, The leadership Walter Clayton brings to the court is next-level,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet19, Braden Smith is always making the smart basketball play,Men,0.6249,Positive,0,0,0
Mark Sears,G,Tweet19, Mark Sears is going to be a nightmare for defenders when he’s feeling it,Men,0.2023,Positive,0,0,0
Derik Queen,C,Tweet19, Maryland’s offense and defense look much better with Derik Queen on the floor,Men,0.34,Positive,1,0,0
Zakai Ziegler,G,Tweet19, Watching Zakai Zeigler lock down an opposing guard is a masterclass in defense,Men,0.128,Positive,1,0,0
Caleb Love,G,Tweet19, Caleb Love’s court vision is something you don’t see every day,Men,0.25,Positive,0,0,0
Richie Saunders,G,Tweet19, That assist from Richie Saunders was just perfect,Men,0.5719,Positive,1,0,0
Chad Baker-Mazara,G,Tweet19, Chad Baker-Mazara’s poise under pressure is what makes him a great player,Men,0.4404,Positive,0,0,0
Cooper Flagg,F,Tweet20, Cooper Flagg is what happens when you mix basketball IQ with athleticism,Men,0.0,Neutral,1,0,0
Johni Broome,F,Tweet20, Johni Broome’s court vision is one of his best assets,Men,0.7845,Positive,0,0,0
Walter Clayton,G,Tweet20, Walter Clayton is the kind of player you build a team around,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet20, Purdue is so much better when Braden Smith is on the court,Men,0.4902,Positive,0,0,0
Mark Sears,G,Tweet20, Mark Sears is one of those players who can get hot and break the game open,Men,0.0,Neutral,0,1,0
Derik Queen,C,Tweet20, Derik Queen is going to be a nightmare for defenders with his skill set,Men,0.0772,Positive,1,0,0
Zakai Ziegler,G,Tweet20, Zakai Zeigler has such a high basketball IQ for a guard his size,Men,0.0,Neutral,0,0,0
Caleb Love,G,Tweet20, Caleb Love has the tools to be an NBA-level guard,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet20, Richie Saunders has been so impressive in his first season for BYU,Men,0.6418,Positive,0,0,0
Chad Baker-Mazara,G,Tweet20, Chad Baker-Mazara’s court awareness is second to none,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet21, Duke just got a game-changer in Cooper Flagg,Men,0.0,Neutral,0,0,0
Johni Broome,F,Tweet21, If Broome keeps improving his outside shot he’ll be unstoppable,Men,0.25,Positive,0,1,0
Walter Clayton,G,Tweet21, That drive and finish by Walter Clayton was unreal,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet21, Braden Smith has some of the best passing touch you’ll see in college basketball,Men,0.6369,Positive,1,0,0
Mark Sears,G,Tweet21, Don’t leave Mark Sears open for a second or he’ll make you pay,Men,-0.1531,Negative,0,0,0
Derik Queen,C,Tweet21, His ability to guard multiple positions makes Derik Queen so valuable,Men,0.7424,Positive,0,0,0
Zakai Ziegler,G,Tweet21, That pull-up jumper from Zakai Zeigler was pure,Men,0.0,Neutral,0,0,0
Caleb Love,G,Tweet21, Caleb Love is taking his game to the next level this season,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet21, Richie Saunders’ combination of shooting and passing makes him a tough cover,Men,-0.128,Negative,1,0,0
Chad Baker-Mazara,G,Tweet21, You can tell Chad Baker-Mazara’s been playing for years,Men,0.2023,Positive,0,0,0
Cooper Flagg,F,Tweet22, The way Cooper Flagg sees the court is special,Men,0.4019,Positive,0,0,0
Johni Broome,F,Tweet22, Broome is a walking double-double machine,Men,0.0,Neutral,1,0,0
Walter Clayton,G,Tweet22, Walter Clayton’s defense on the ball is elite he shuts down his man,Men,0.128,Positive,1,0,0
Braden Smith,G,Tweet22, That lob pass from Braden Smith was a thing of beauty,Men,0.5859,Positive,1,0,0
Mark Sears,G,Tweet22, Mark Sears is a big reason why Alabama’s offense is so dynamic,Men,0.2247,Positive,1,0,0
Derik Queen,C,Tweet22, Derik Queen already has the tools to be a major impact player,Men,0.0,Neutral,0,0,0
Zakai Ziegler,G,Tweet22, Zakai Zeigler can create his own shot anytime he wants,Men,0.2732,Positive,0,1,0
Caleb Love,G,Tweet22, Caleb Love’s mid-range game is one of the best in the country,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet22, Richie Saunders has an underrated offensive game that’s getting better every game,Men,-0.0258,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet22, his game is so polished,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet23, I’d pay to watch a Cooper Flagg versus Bronny one-on-one,Men,-0.1027,Negative,0,0,0
Johni Broome,F,Tweet23, His ability to defend without fouling is impressive Johni Broome is just solid,Men,0.0511,Positive,0,0,0
Walter Clayton,G,Tweet23, The way Walter Clayton uses his body to create space is a clinic in itself,Men,0.2732,Positive,0,0,0
Braden Smith,G,Tweet23, Braden Smith can drop dimes like it’s nothing,Men,0.1027,Positive,0,0,0
Mark Sears,G,Tweet23, You can’t leave Mark Sears on an island his shot can get hot quickly,Men,-0.0516,Negative,0,1,0
Derik Queen,C,Tweet23, Derik Queen’s rebound game is elite for a freshman,Men,0.0,Neutral,1,0,1
Zakai Ziegler,G,Tweet23, Zakai Zeigler has no fear going up against taller players,Men,0.3875,Positive,0,0,0
Caleb Love,G,Tweet23, Caleb Love has the swagger to back up his game,Men,0.6369,Positive,0,0,0
Richie Saunders,G,Tweet23, Richie Saunders can take over the game when it’s needed,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet23, Chad Baker-Mazara is quietly becoming one of the best players in the SEC,Men,0.6369,Positive,0,0,0
Cooper Flagg,F,Tweet24, Cooper Flagg’s footwork at 17 is better than most pros,Men,0.4404,Positive,0,0,0
Johni Broome,F,Tweet24, Johni Broome might be the best defensive big man in college basketball,Men,0.6486,Positive,0,0,0
Walter Clayton,G,Tweet24, Walter Clayton’s ability to hit clutch free throws is huge in close games,Men,0.7845,Positive,0,0,0
Braden Smith,G,Tweet24, Braden Smith has that rare ability to pass his teammates open,Men,0.3182,Positive,1,0,0
Mark Sears,G,Tweet24, Mark Sears is a scoring machine when he gets in rhythm,Men,0.0,Neutral,1,0,0
Derik Queen,C,Tweet24, Watching Derik Queen run the floor at his size is so impressive,Men,0.6418,Positive,0,0,0
Zakai Ziegler,G,Tweet24, Zakai Zeigler can control the game with his quickness and decision-making,Men,0.0,Neutral,1,0,0
Caleb Love,G,Tweet24, Caleb Love is a threat from anywhere on the floor,Men,0.2023,Positive,0,0,0
Richie Saunders,G,Tweet24, Richie Saunders’ ball-handling is really underrated for a guard,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet24, Chad Baker-Mazara has a great understanding of the game and it shows,Men,0.6249,Positive,0,0,0
Cooper Flagg,F,Tweet25, Flagg is going to have a Zion-level impact on college hoops,Men,0.0,Neutral,0,0,0
Johni Broome,F,Tweet25, That spin move from Johni Broome had the defender spinning in circles,Men,0.1027,Positive,0,0,0
Walter Clayton,G,Tweet25, I can't say enough about how good Walter Clayton is at both ends of the floor,Men,0.4404,Positive,0,0,0
Braden Smith,G,Tweet25, Braden Smith is the definition of a pass-first point guard,Men,0.0,Neutral,1,0,0
Mark Sears,G,Tweet25, That left-handed floater from Mark Sears was a thing of beauty,Men,0.5859,Positive,0,0,0
Derik Queen,C,Tweet25, Derik Queen’s patience in the post is something you don’t see from freshmen,Men,0.0,Neutral,0,0,0
